Clave entidad,Entidad,CVE_MUN,Municipio,Población 2015,Población 2020,Población en situación de pobreza 2010,Población en situación de pobreza 2015,Población en situación de pobreza 2020,Población con ingreso inferior a la línea de pobreza por ingresos 2010,Población con ingreso inferior a la línea de pobreza por ingresos 2015,Población con ingreso inferior a la línea de pobreza por ingresos 2020,Población con carencia por rezago educativo 2010,Población con carencia por rezago educativo 2015,Población con carencia por rezago educativo 2020,Población con carencia por acceso a los servicios de salud 2010,Población con carencia por acceso a los servicios de salud 2015,Población con carencia por acceso a los servicios de salud 2020,Población con carencia por acceso a la seguridad social 2010,Población con carencia por acceso a la seguridad social 2015,Población con carencia por acceso a la seguridad social 2020,Población con carencia por calidad y espacios de la vivienda 2010,Población con carencia por calidad y espacios de la vivienda 2015,Población con carencia por calidad y espacios de la vivienda 2020,Población con carencia por acceso a los servicios básicos en la vivienda 2010,Población con carencia por acceso a los servicios básicos en la vivienda 2015,Población con carencia por acceso a los servicios básicos en la vivienda 2020,Población con carencia por acceso a la alimentación 2010,Población con carencia por acceso a la alimentación 2015,Población con carencia por acceso a la alimentación 2020
21,Puebla,165,Tepemaxalco,494,476,93.252632,97.765,91.255365,93.252632,98.515,91.454936,18.070175,12.5,-,34.912281,-,16.523605,99.298246,95,99.785408,35.438596,28.5,28.969957,95.964912,77.75,93.562232,44.736842,15.75,-
21,Puebla,166,Tepeojuma,2944,2869,72.924492,83.762134,85.411744,78.511133,88.982752,91.03903,16.940949,9.586843,12.658228,40.367861,17.649418,13.396624,86.25363,90.29282,89.873418,24.975799,18.531889,21.061885,48.2091,37.384677,31.082982,19.361084,22.222222,24.859353
21,Puebla,167,Tepetzintla,3557,4053,89.543445,88.405946,88.875309,89.693233,88.575409,95.254082,17.8802,8.068019,9.302326,22.796544,5.134534,-,84.374651,98.346499,74.220683,43.746648,38.600289,42.503711,92.227566,82.586718,69.421079,86.223165,24.035424,22.241465
21,Puebla,168,Tepexco,2682,2757,86.955224,90.14554,93.672228,87.037313,91.457533,94.416759,16.119403,14.596671,16.240267,22.014925,10.54204,5.858361,98.059701,91.933419,98.442714,48.955224,38.19889,46.829811,64.029851,84.677764,73.785688,38.880597,23.090055,14.979607
21,Puebla,169,Tepexi de Rodríguez,6923,8519,72.169489,74.823766,75.23561,78.971408,77.18199,77.484155,9.729492,6.28588,8.517869,25.527106,14.02609,34.117932,67.269452,88.687853,86.455302,24.829419,18.294397,14.156612,64.862548,52.912935,53.00506,32.911856,26.416992,37.066256
21,Puebla,170,Tepeyahualco,6469,6699,84.85764,78.585088,82.683446,85.856496,79.338241,85.969095,14.957255,11.420521,11.500597,27.584512,9.749525,23.781984,90.047958,97.255008,90.774132,21.475109,14.255236,8.4566,57.835469,34.032631,18.189193,48.035851,26.102301,39.445613
21,Puebla,171,Tepeyahualco de Cuauhtémoc,1190,1230,82.115053,82.166824,79.057377,84.860019,83.795476,83.822951,9.87536,7.257304,10.081967,37.67977,21.39491,31.557377,94.822627,95.004713,90.409836,18.408437,16.305372,8.52459,22.818792,14.043355,7.868852,4.889741,16.870877,-
21,Puebla,172,Tetela de Ocampo,9279,10093,79.60314,77.491113,83.053258,81.418808,78.582732,85.145961,13.446008,7.332312,6.413878,-,4.349316,28.287145,76.022701,95.355251,89.943677,28.115886,17.928316,12.928489,64.124841,48.780547,49.962245,37.440302,19.187027,45.745221
21,Puebla,173,Teteles de Avila Castillo,2111,2102,62.729656,68.91076,60.866222,68.150995,75.08873,72.604305,7.052441,4.99745,-,26.672694,10.45385,18.093285,73.779385,76.032636,67.401333,31.374322,20.856706,12.045105,-,32.483427,10.148642,-,17.032126,17.170682
21,Puebla,174,Teziutlán,35707,30683,53.926877,60.758195,56.837681,63.61684,69.633574,69.368698,12.214448,8.922539,9.619431,34.582747,23.094519,34.200543,65.542886,66.660714,64.085923,26.105347,19.61032,8.503272,-,26.775732,15.70344,24.753901,22.278579,22.155298
21,Puebla,175,Tianguismanalco,3955,4924,78.399081,72.642918,82.065075,79.905153,74.575848,83.590248,19.46134,15.627205,13.623901,46.852647,19.171605,39.600227,95.233116,88.460174,93.135089,39.548739,22.516726,23.274998,31.218664,42.952801,52.870071,41.994932,22.441413,36.698162
21,Puebla,176,Tilapa,3155,3233,63.520355,72.379101,68.666146,72.071058,77.071327,74.804809,11.695041,10.057061,8.931918,31.273131,9.022825,9.962523,77.387121,85.306705,82.823235,21.206514,22.289586,18.582136,19.541081,33.773181,26.951905,14.655811,25.74893,18.738289
21,Puebla,177,Tlacotepec de Benito Juárez,18358,21038,78.845935,82.339237,85.505395,79.832013,83.996944,87.224243,13.758188,12.498316,9.992378,36.659559,14.825505,34.02486,93.791116,93.177699,92.806588,21.624473,30.635231,13.545428,57.34952,57.451512,33.190959,30.416992,33.935476,32.848822
21,Puebla,178,Tlacuilotepec,7161,7085,89.131181,79.057376,90.737953,89.652039,79.180292,91.123377,8.89298,7.663146,8.527025,61.259601,14.591576,16.984375,96.394155,98.457309,96.147509,50.729635,22.937368,15.423417,85.549195,81.882093,87.0237,48.298119,32.519873,54.868025
21,Puebla,179,Tlachichuca,8749,10146,83.520967,84.345499,86.416656,84.468925,85.57325,89.227512,13.866208,8.990127,9.522879,-,6.046429,11.22245,96.57987,95.997795,91.73382,21.248704,12.732869,12.231537,36.561926,24.641503,24.043496,41.623146,25.81496,42.714719
21,Puebla,180,Tlahuapan,12669,12739,80.36064,80.079399,82.292226,84.789527,84.406577,87.845502,14.228456,10.409439,9.435594,35.820461,13.224327,30.309885,91.537475,89.868415,88.028168,28.440698,16.740084,11.284991,13.542645,14.833697,9.90857,29.390958,21.268475,28.712016
21,Puebla,181,Tlaltenango,2867,2729,79.133659,79.827508,76.962124,86.148329,87.612552,89.247308,14.506927,9.921082,10.174527,43.683782,11.762495,23.282584,81.173594,81.999248,75.232083,24.857376,21.871477,15.558856,32.02934,20.668921,15.15039,17.603912,17.888012,20.42332
21,Puebla,182,Tlanepantla,1969,2012,88.857993,94.651121,94.599601,89.003401,95.29679,96.027459,18.282313,13.688674,12.980529,38.180272,17.322835,27.408887,98.809524,98.667474,97.104343,34.438776,26.529376,24.163754,32.568027,20.654149,21.068397,23.384354,19.018776,20.918622
21,Puebla,183,Tlaola,5626,6902,87.179223,88.069221,95.224928,87.329669,88.44987,95.563092,13.639408,8.871494,9.236978,-,8.194177,11.168336,95.555823,97.993426,89.624256,38.373491,33.410304,28.087917,68.623539,82.420635,82.506877,65.168438,25.82327,35.775667
21,Puebla,184,Tlapacoya,2603,2505,90.265675,90.276362,91.005564,91.591923,90.420035,91.40461,12.858661,11.115993,10.969793,43.676939,4.43761,-,90.435707,98.989455,97.972973,48.671626,34.578207,37.042925,88.735388,89.806678,85.015898,52.178533,34.00703,-
21,Puebla,185,Tlapanalá,3051,3751,74.51439,82.552125,79.622522,74.943103,83.090617,81.211833,21.534899,17.040898,14.32074,51.108171,22.694467,31.742258,97.287463,93.183641,92.123538,21.931856,23.576584,13.208599,34.965266,45.509222,40.193653,16.043665,25.862069,32.779766
21,Puebla,186,Tlatlauquitepec,17331,16519,74.696863,74.956698,73.461001,76.746591,78.01166,77.328585,9.535044,4.177751,5.353155,33.784142,8.458798,16.492469,89.9633,88.145359,81.873424,26.384319,12.904179,10.312552,48.563593,45.755344,33.779381,36.178958,16.204484,21.635874
21,Puebla,187,Tlaxco,1885,1575,91.162494,82.94844,84.446223,91.507055,83.232336,85.329706,17.888029,11.9669,14.788732,34.729176,11.45767,13.700384,74.32863,96.626353,95.518566,60.673646,41.629535,26.760563,81.702321,80.521961,65.620999,-,26.67091,-
21,Puebla,188,Tochimilco,4194,6885,86.84866,89.417634,91.649274,88.306787,90.174594,92.667686,21.186043,16.335318,15.051333,41.242457,22.531448,23.886884,92.675963,98.289944,96.965083,24.457979,20.357887,15.784327,72.258457,73.49919,70.188461,29.068719,25.312308,35.515058
21,Puebla,189,Tochtepec,6548,7888,77.427354,82.297747,82.379509,78.986631,83.868694,84.439509,16.964182,12.716959,11.490343,43.067613,14.832155,30.717602,91.300868,93.844874,94.328587,22.327012,14.716251,11.945978,49.763576,17.766824,25.251289,41.002154,24.420562,35.245102
21,Puebla,190,Totoltepec de Guerrero,372,321,89.52648,84.577586,85.487578,91.352025,85.563218,86.385093,6.853583,-,-,88.47352,17.528736,16.149068,95.327103,94.54023,94.099379,40.809969,27.011494,23.602484,64.485981,70.402299,63.975155,30.218069,37.068966,56.21118
21,Puebla,191,Tulcingo,3171,3108,80.363915,90.459662,83.726576,80.569577,90.97636,85.338446,17.803547,10.281426,11.070357,44.849932,7.954972,19.006335,97.748977,98.536585,95.031677,25.068213,19.324578,19.839947,58.424284,55.984991,43.814605,56.957708,25.253283,17.739246
21,Puebla,192,Tuzamapan de Galeana,1934,1731,74.114512,80.970903,81.053664,79.205215,82.013064,81.750144,7.369615,-,-,21.428571,5.997625,7.443739,70.181406,86.817102,93.133295,46.598639,27.256532,21.638777,48.979592,80.522565,65.377957,24.943311,30.87886,28.678592
21,Puebla,193,Tzicatlacoyan,2594,2193,84.709382,87.935093,79.831967,85.053547,87.935093,83.462204,12.860412,12.418866,10.701275,40.549199,13.067936,19.216758,96.979405,98.572047,73.679417,30.800915,32.193855,16.393443,68.05492,78.926871,31.147541,17.574371,6.663782,23.497268
21,Puebla,194,Venustiano Carranza,11045,11550,77.459568,74.966357,78.082016,78.341231,76.178632,79.865217,11.736768,9.207086,9.474304,35.877346,13.829716,27.995503,92.601825,92.925387,91.377439,33.518075,21.843794,15.462,54.910364,49.507226,64.571737,29.900363,22.638226,36.327412
21,Puebla,195,Vicente Guerrero,10830,10860,90.988819,96.581402,95.5281,90.988819,96.70318,95.844481,21.960099,16.751931,16.454763,45.29052,7.854348,9.43431,87.363469,97.632661,98.618021,25.817689,39.362022,32.762115,96.861194,85.515097,77.068362,57.317738,43.254088,34.44813
